listingid,companyid,company,price,url,long,lat,type,rooms,size_m2,listings,deposit,rent
4023,31,bk-aarhus,6897,https://aarhusbolig.dk/afdelinger/?bolignr=4023&selskab=31&afdeling=1&antalrum=2,56.16729917,10.18904686,Lejlighed,2,70,201,10600,5366
3003,31,bk-aarhus,7642,https://aarhusbolig.dk/afdelinger/?bolignr=3003&selskab=31&afdeling=1&antalrum=3,56.16729917,10.18904686,Lejlighed,3,77,75,11100,5790
34,31,bk-aarhus,8304,https://aarhusbolig.dk/afdelinger/?bolignr=34&selskab=31&afdeling=2&antalrum=3,56.17843214,10.19509792,Rækkehus,3,102,2,25000,6033
14,31,bk-aarhus,7619,https://aarhusbolig.dk/afdelinger/?bolignr=14&selskab=31&afdeling=2&antalrum=4,56.17843214,10.19509792,Rækkehus,4,102,34,25000,6033
258,31,bk-aarhus,3119,https://aarhusbolig.dk/afdelinger/?bolignr=258&selskab=31&afdeling=3&antalrum=1,56.16789651,10.18484116,Lejlighed,1,28,15,3920,1915
256,31,bk-aarhus,4117,https://aarhusbolig.dk/afdelinger/?bolignr=256&selskab=31&afdeling=3&antalrum=1,56.16789651,10.18484116,Lejlighed,1,41,15,5740,2786
43,31,bk-aarhus,4777,https://aarhusbolig.dk/afdelinger/?bolignr=43&selskab=31&afdeling=3&antalrum=1,56.16789651,10.18484116,Lejlighed,1,50,15,7000,3378
36,31,bk-aarhus,5188,https://aarhusbolig.dk/afdelinger/?bolignr=36&selskab=31&afdeling=3&antalrum=2,56.16789651,10.18484116,Lejlighed,2,55,56,7700,3717
236,31,bk-aarhus,5774,https://aarhusbolig.dk/afdelinger/?bolignr=236&selskab=31&afdeling=3&antalrum=2,56.16789651,10.18484116,Lejlighed,2,63,56,8820,4253
53,31,bk-aarhus,6583,https://aarhusbolig.dk/afdelinger/?bolignr=53&selskab=31&afdeling=3&antalrum=3,56.16789651,10.18484116,Lejlighed,3,73,33,10220,5016
242,31,bk-aarhus,7017,https://aarhusbolig.dk/afdelinger/?bolignr=242&selskab=31&afdeling=3&antalrum=3,56.16789651,10.18484116,Lejlighed,3,78,33,10920,5325
253,31,bk-aarhus,7247,https://aarhusbolig.dk/afdelinger/?bolignr=253&selskab=31&afdeling=3&antalrum=4,56.16789651,10.18484116,Lejlighed,4,79,14,11060,5413
56,31,bk-aarhus,7973,https://aarhusbolig.dk/afdelinger/?bolignr=56&selskab=31&afdeling=3&antalrum=4,56.16789651,10.18484116,Lejlighed,4,94,14,13160,6207
89,31,bk-aarhus,4475,https://aarhusbolig.dk/afdelinger/?bolignr=89&selskab=31&afdeling=4&antalrum=1,56.16605666,10.19132137,Lejlighed,1,41,6,8000,3541
46,31,bk-aarhus,5159,https://aarhusbolig.dk/afdelinger/?bolignr=46&selskab=31&afdeling=4&antalrum=2,56.16605666,10.19132137,Lejlighed,2,65,36,10000,4604
9,31,bk-aarhus,5396,https://aarhusbolig.dk/afdelinger/?bolignr=9&selskab=31&afdeling=4&antalrum=3,56.16605666,10.19132137,Lejlighed,3,65,58,12000,4604
11,31,bk-aarhus,6216,https://aarhusbolig.dk/afdelinger/?bolignr=11&selskab=31&afdeling=4&antalrum=3,56.16605666,10.19132137,Lejlighed,3,77,58,12000,5158
39,31,bk-aarhus,7356,https://aarhusbolig.dk/afdelinger/?bolignr=39&selskab=31&afdeling=4&antalrum=4,56.16605666,10.19132137,Lejlighed,4,93,18,14000,5897
13,31,bk-aarhus,7327,https://aarhusbolig.dk/afdelinger/?bolignr=13&selskab=31&afdeling=6&antalrum=2,56.18368693,10.20578384,Rækkehus,2,67,2,9380,6735
6,31,bk-aarhus,8375,https://aarhusbolig.dk/afdelinger/?bolignr=6&selskab=31&afdeling=6&antalrum=3,56.18368693,10.20578384,Rækkehus,3,79,8,11060,7257
9,31,bk-aarhus,8452,https://aarhusbolig.dk/afdelinger/?bolignr=9&selskab=31&afdeling=6&antalrum=4,56.18368693,10.20578384,Rækkehus,4,64,8,16300,7219
2,31,bk-aarhus,13343,https://aarhusbolig.dk/afdelinger/?bolignr=2&selskab=31&afdeling=6&antalrum=4,56.18368693,10.20578384,Rækkehus,4,114,8,15960,10176
10,31,bk-aarhus,6082,https://aarhusbolig.dk/afdelinger/?bolignr=10&selskab=31&afdeling=7&antalrum=2,56.16772926,10.19170761,Lejlighed,2,67,4,11000,4947
33,31,bk-aarhus,5980,https://aarhusbolig.dk/afdelinger/?bolignr=33&selskab=31&afdeling=7&antalrum=3,56.16772926,10.19170761,Lejlighed,3,67,32,11000,4953
12,31,bk-aarhus,6849,https://aarhusbolig.dk/afdelinger/?bolignr=12&selskab=31&afdeling=7&antalrum=3,56.16772926,10.19170761,Lejlighed,3,79,32,11500,5835
13,31,bk-aarhus,7531,https://aarhusbolig.dk/afdelinger/?bolignr=13&selskab=31&afdeling=7&antalrum=4,56.16772926,10.19170761,Lejlighed,4,88,24,12500,6434
4,31,bk-aarhus,4898,https://aarhusbolig.dk/afdelinger/?bolignr=4&selskab=31&afdeling=8&antalrum=1,56.16942567,10.18569946,Lejlighed,1,42,12,5880,3855
8,31,bk-aarhus,5683,https://aarhusbolig.dk/afdelinger/?bolignr=8&selskab=31&afdeling=8&antalrum=2,56.16942567,10.18569946,Lejlighed,2,56,27,7840,4497
3,31,bk-aarhus,6841,https://aarhusbolig.dk/afdelinger/?bolignr=3&selskab=31&afdeling=8&antalrum=3,56.16942567,10.18569946,Lejlighed,3,71,24,9940,5503
12,31,bk-aarhus,7570,https://aarhusbolig.dk/afdelinger/?bolignr=12&selskab=31&afdeling=9&antalrum=3,56.17009466,10.21123409,Lejlighed,3,94,4,13160,6352
4,31,bk-aarhus,8309,https://aarhusbolig.dk/afdelinger/?bolignr=4&selskab=31&afdeling=9&antalrum=4,56.17009466,10.21123409,Lejlighed,4,107,8,14980,7180
1,31,bk-aarhus,6438,https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=31&afdeling=10&antalrum=4,56.17828882,10.19677162,Rækkehus,4,96,45,26880,5715
237,31,bk-aarhus,3920,https://aarhusbolig.dk/afdelinger/?bolignr=237&selskab=31&afdeling=11&antalrum=1,56.16682726,10.18503428,Lejlighed,1,34,17,8000,3070
